index,NOMBRE_ENTIDAD
103,Instituto Departamental del Deporte y la Recreación de Arauca
104,"E.S.P. Empresa Colombiana de Procesos Tecnológicos, Tecnología y Comunicaciones S.A."
105,Terminal de Transportes de Pasto S.A.
106,Cerinza
107,Departamento del Cauca
108,Departamento del Valle del Cauca
109,E.S.E. Hospital Departamental de Villavicencio
110,Departamento de Caldas
111,Departamento del Atlántico
112,E.S.E. Hospital San José - San José del Guaviare
113,Caracolí
114,Pereira
115,Departamento del Meta
116,Cabrera - Cundinamarca
117,Norcasia
118,Palestina - Huila
119,Charta
123,Turbo
125,E.S.P Domiciliarios de Mesetas
129,Clemencia
130,Tangua
131,Saladoblanco
133,Colegio Mayor de Antioquia
134,Megabus S.A.
135,Departamento del Huila
138,Guaitarilla
140,La Primavera
143,Intervial Colombia S.A.S.
144,Vetas
145,E.S.E. Hospital San Antonio - Caramanta
146,Chiscas
147,Luruaco
148,La Gloria
149,E.S.E. Hospital Departamental Intercultural Renacer
151,"Instituto Municipal de Cultura, Recreación y Deporte de Zipaquirá"
153,Funza
154,Villarrica - Tolima
155,Corporación Salud U.N
156,Guamal - Magdalena
158,Risaralda
159,Aquasibundoy S.A E.S.P
160,La Uribe
163,Zapatoca
165,El Cocuy
166,Granada - Meta
168,Instituto de Tránsito y Transporte de Sogamoso
169,Guaranda
170,E.S.E. Hospital Regional de Miraflores
171,Labranzagrande
172,Guacamayas
173,Mesitas del Colegio
174,Mitú
176,Instituto Departamental de Bellas Artes
178,Iles
179,La Palma
182,Empresa de Tecnología y Servicios Alborada - Empresa Industrial y Comercial del Estado EICE
184,E.S.P. Empresa de Servicios Públicos de Falán S.A.S.
186,Chimichagua
188,Bosconia
189,Silvia
192,El Calvario
193,Nilo
196,E.S.E. Primer Nivel Granada Salud
197,E.S.E. Hospital Piloto Jamundí
203,E.S.P. Empresa de Servicios Públicos Domiciliarios Paratebueno
205,Coromoro
206,E.S.E. Hospital Santa Catalina de Sena de Sucre
208,Servicios Postales Nacionales S.A.
209,E.S.E. Hospital San Antonio - Roldanillo (Valle)
210,Envigado
211,Roncesvalles
213,Corporación para el Desarrollo Sostenible del Sur de la Amazonía
215,Cisneros
216,Filadelfia
217,Departamento del Tolima
218,San Antonio de Palmito
219,E.S.E. Hospital Local de San Carlos de Guaroa
220,Santa Rosa de Viterbo
221,Calamar - Guaviare
222,Venecia - Antioquia
224,Ventaquemada
225,Puerto Tejada
226,El Zulia
227,Puerto Parra
229,E.S.P. Electrificadora del Meta S.A.
230,Instituto de Cultura y Patrimonio de Antioquia
232,San Miguel - Putumayo
233,Anolaima
235,Instituto de Salud de Bucaramanga
236,Sucre - Cauca
237,Departamento del Quindío
239,Condoto
240,Tumaco
242,Cumaribo
243,Pandi
245,Tona
246,Medina
248,Maceo
250,Valdivia
252,Sitionuevo
253,E.S.E. Hospital de San Onofre
254,Pauna
255,Ebéjico
259,Mercaderes
261,Sabanagrande
262,San Carlos de Guaroa
264,Empresas Públicas de Puerto Nare
266,Santiago - Putumayo
268,San José - Caldas
269,E.S.E. Hospital de Orito - Orito
274,Providencia
276,Uramita
277,Guatavita
278,E.S.P. Acueducto Regional Costero Arcos S.A.
279,El Dorado
280,E.S.P. Aguas de Malambo S.A.
281,Caja de Vivienda Popular
282,Tello
283,E.S.E. Hospital de la Vega
284,E.S.E. Hospital Regional San Marcos - Sucre
292,La Apartada
293,Instituto para el Desarrollo de Antioquia
295,Departamento de Casanare
298,La Capilla
301,San Lorenzo
305,Cerrito
306,Muzo
307,Simijaca
310,E.S.E. Hospital San Antonio - Herveo
311,Subachoque
312,Ortega
314,Instituto Departamental de Deportes del Guaviare
315,María la Baja
319,E.S.E. Hospital San Juan de Dios - Valdivia
320,Santa Rosa de Osos
321,Santo Domingo
322,E.S.E. Hospital San Camilo de Celis - Vegachi
323,Armenia - Antioquia
324,Boavita
325,Pacho
327,El Pital
329,Cunday
330,Guasca
332,E.S.P. Empresas Municipales de Cali E.I.C.E
333,Argelia -  Cauca
334,Guaca
335,Vista Hermosa
338,Andes
339,Cámara Comercio de Arauca
340,Simacota
341,San Pelayo
342,Cantagallo
344,Iquira
345,Institución Prestadora de Servicios de Salud Arístides Fernández Isabella del Municipio de Cepitá
346,Instituto Municipal de Cultura y Turismo de Tenjo
347,E.S.E. Hospital Regional San Juan de Dios - Rionegro
350,La Calera
354,Ubalá
358,San Francisco - Antioquia
359,Cumbal
361,Ospina
365,Sabanalarga - Antioquia
367,E.S.E. San Sebastian del Municipio de La Plata - Huila
368,E.S.P. Domiciliarios de Valparaiso S.A.S.
370,Departamento de Sucre
373,Guachucal
374,E.S.E. Hospital Local - Guamal
377,Pitalito
378,Bucaramanga
379,Morales - Cauca
381,Cajamarca
382,Baraya
387,E.S.E. Centro de Salud de Usiacurí
392,Istmina
395,Villanueva - Casanare
398,E.S.E. Manuel Castro Tovar - Pitalito
400,Dabeiba
401,E.S.E. Hospital San Félix - La Dorada
404,Argelia - Valle del Cauca
405,E.S.E. Norte 3
407,E.S.E. Hospital - San Martín
408,E.S.P. de Puerto Triunfo S.A.
412,Urrao
415,Betulia - Antioquia
418,Duitama
419,Talaigua Nuevo
420,Colmena Seguros S.A.
422,E.S.E Hospital San Vicente de Paul - Salento
423,E.S.P. de Colombia Huila S.A.S.
425,Santa Ana
426,Arauca
427,Macaravita
430,Sociedad de Televisión de las Islas
431,El Roble
433,Guadalupe - Antioquia
434,Pedraza
438,Buesaco
439,La Cruz
440,E.S.E. Centro de Salud de Polonuevo
441,Yumbo
442,Nobsa
444,Jamundí
445,Empresa Municipal de Servicios Públicos de Granada
446,Carmen de Carupa
450,Instituto para el Fomento del Deporte de Barrancabermeja
451,Lérida
453,Barrancominas
456,Suaza
458,Puerto Colombia
459,Universidad del Cauca
461,Riosucio - Caldas
463,Salgar
464,San Bernardo - Cundinamarca
468,Universidad de Caldas
470,Fosca
471,E.S.E. Centro de Salud - San Pedro Sucre
472,Hispania
474,Puerto Salgar
477,Tuta
487,E.S.E. Hospital Civil Regional - Ipiales
489,Universidad de Sucre
494,Asociación Agroempresarial de Municipios del Sur Occidente del Departamento del Huila
495,El Rosario
498,Neira
501,Prado
503,I.P.S. Centro de Salud Ucatá - Charta Santander
507,Instituto Departamental de Deportes de Córdoba
509,Servicios Públicos de Puerto Gaitán - Meta
511,E.S.E. Camu del Municipio de La Apartada
514,Terminal de Transportes de Armenia S.A.
518,Cogua
521,Canal Regional de Televisión del Caribe Ltda.
523,Paicol
524,E.S.P. Empresa de Aseo de Bucaramanga S.A.
525,Victoria
526,E.S.E. Hospital San Vicente de Paul - Nemocón
528,Interconexión Eléctrica S.A.
529,Departamento de Antioquia
531,E.S.E. Hospital San Juan de Dios - Riosucio
533,U.A.E. De Salud de Arauca
534,Firavitoba
535,Departamento de Cundinamarca
539,San Eduardo
540,Toledo - Antioquia
541,Palermo
545,Suaita
546,San Cayetano - Norte de Santander
547,Tibacuy
548,E.S.E. Centro de Salud - Nuevo Colón
551,Silvania
552,San Pedro de Cartago
553,E.S.P. Servicios Públicos Domiciliarios de Altamira S.A.
554,E.S.E Hospital Local Juan Hernando Urrego - Aguazul
557,Departamento del Cesar
559,San Marcos
563,Juradó
565,Yacopí
568,Marinilla
572,Instituto Municipal de Deportes de Carepa
573,Balboa - Cauca
575,E.S.E. Centro de Salud Ricardo Acosta - Palocabildo
576,Isnos
577,E.S.E. Hospital San Martín
579,E.S.E. Red de Salud del Oriente
583,"E.S.P. Empresa de Acueducto, Alcantarillado y Aseo de Guadalupe S.A."
593,Salamina - Magdalena
595,"E.I.C.E. del Orden Municipal, Denominada Empresa Municipal de Maquinaria, Transporte y Servicios"
596,Empresa de Obras Sanitarias de la Provincia de Obando
597,Ubaque
601,Palmira
602,Quetame
604,E.S.E. Hospital Local de Tauramena
605,E.S.E. Hospital San Roque de el Copey
606,Universidad del Pacífico
607,El Molino
609,Albania - Santander
611,Fonseca
612,Girardota
615,E.S.E. Hospital La Divina Misericordia de Magangué
621,Olaya
622,E.S.P. Retirar - El Retiro
624,Camara de Comercio de Casanare
625,Colegio Mayor del Cauca
626,EPM Inversiones S.A.
629,Betulia - Santander
630,Sogamoso
633,Cumaral
636,Chámeza
638,E.S.E. Hospital San Juan de Dios - Segovia
642,Caloto
650,Santiago - Norte de Santander
651,E.S.E. Hospital San Camilo
662,E.S.P. de Lejanías - Meta
664,E.S.P. Serviteatinosamaca S.A.
665,Casabianca
667,Concordia - Antioquia
670,Fondo Regional de Garantías de Nariño S.A.
672,Viterbo
675,Molagavita
676,Somondoco
681,E.S.E. Centro de Salud de Fosca - Cundinamarca
683,E.S.P. del Valle del Guamuez S.A.
686,Uribia
687,Departamento de Risaralda
689,"E.S.E. Assbasalud - Atención en Seguridad Social, Bienestar y Salud"
691,Margarita
692,Empresas Municipales de Cartago
694,E.S.P. Aguas de Manizales S.A. - BIC
695,E.S.E. Hospital Juan Pablo II - Aratoca (Santander)
699,San Pedro de los Milagros
704,Tenza
706,Cota
707,Sistemas Inteligentes en Red S.A.S.
708,La Tebaida
713,Hato
714,Piedecuesta
716,El Retiro
718,Universidad de los Llanos
719,La Sierra
721,Puerto Nare (La Magdalena)
722,Villanueva - Santander
724,Santa Fe de Antioquia
726,Fondo de Fomento de Leguminosas de Grano
730,La Macarena
736,Barbosa - Antioquia
737,Sorteo Extraordinario de Colombia Ltda.
738,E.S.E. Hospital Erasmo Meoz
741,San Francisco -  Cundinamarca
744,Puerres
746,Cartago
747,Santuario - Risaralda
749,Tauramena.
753,E.S.P. Empresa Municipal de Natagaima
754,E.S.E. Hospital Local de Malambo
755,Toledo - Norte de Santander
757,Arroyohondo
758,Empresa de Vivienda de Antioquia - VIVA
759,E.S.P. Caribemar de la Costa S.A.S.
760,Salento
761,Nocaima
762,E.S.E. Red Salud Casanare
763,Florencia - Cauca
765,Barichara
766,Instituto Colombiano de Ballet Clásico
768,Instituto Nacional de Formación Técnica Profesional Humberto Velásquez García
771,E.S.E. Hospital Local - Turbaco
772,Peque
779,Cerro de San Antonio
780,E.S.E. Hospital Local de Algarrobo
782,E.S.E. Hospital Fronterizo - La Dorada
786,E.S.E. Hospital Departamental María Inmaculada - Florencia Caquetá
791,E.S.E. Hospital Local Municipio de Los Patios
794,E.S.E. Hospital San Juan de Dios - Armenia
798,E.S.P. Transelca S.A.
800,Villa de Leyva
813,Enciso
815,E.S.E. Cayetano María de Rojas
816,Puerto Triunfo
821,Instituto de Cultura y Turismo de Manizales
822,Los Andes (Sotomayor)
823,E.S.E. Centro de Salud - La Candelaria
824,U.A.E. de Catastro Distrital
825,E.S.E. Centro de Salud de Tausa
826,Orito
827,E.S.E. Hospital Eduardo Arredondo Daza - Valledupar
831,E.S.P. Aguas del Bagre S.A.
833,E.S.P. Empresa de Obras Sanitarias de Caldas Ltda.
835,Teorama
836,Marmato
839,E.S.P. Aguas y Aseo de Subachoque S.A.
844,San Juan de Betulia
847,Chinavita
848,Cucaita
850,E.S.P. Aguas Regionales EPM
853,Rivera
855,E.S.E. Hospital Francisco Valderrama - Turbo
856,E.S.E. Centro de Salud - Ovejas
860,Mogotes
871,Oporapa
873,Palocabildo
875,E.S.E. Centro de Salud de Santana
876,Departamento de Santander
882,Quipile
885,La Peña
886,E.S.E. Hospital Atrato Medio Antioqueño - Vigía del Fuerte
887,E.S.E. Hospital Local de Remolino
888,Tame
889,Tipacoque
898,Guaduas
902,Empresas de Parques y Eventos de Antioquia- Activa
904,Armenia
907,Paz de Ariporo
908,Tausa
909,E.S.E. Hospital San Rafael - Girardota
910,Santa Isabel
911,Pensilvania
914,E.S.P. Aguas y Aseo de Risaralda S.A.
917,Sasaima
919,I.P.S. Indígena Pública The Wala
920,Remolino
921,Vianí
925,Empresa de Acueducto y Alcantarillado del Municipio de San Gil
926,Aranzazu
927,Instituto de Movilidad y Transporte de Tame - Arauca
929,Fondo de Fomento Algodonero
930,Argelia - Antioquia
931,E.S.P. Empresa de Acueducto y Alcantarillado - Mosquera
933,La Mesa
938,Sabana de Torres
940,Empresa de Transporte del Tercer Milenio Transmilenio S.A.
941,Universidad de Cartagena
942,Campo de la Cruz
950,E.S.E. Empresa Social del Estado Hospital San Antonio - Anolaima
952,E.S.P. Sociedad de Acueducto y Alcantarillado de Buenaventura S.A.
954,Universidad del Valle
956,Instituto Financiero del Norte de Santander
958,E.S.E. Carmen Emilia Ospina
963,El Paujil
964,Pachavita
971,Segovia
973,"Barranquilla, Distrito Especial, Industrial y Portuario"
977,Socorro
982,U.A.E. de Pensiones del Departamento de Cundinamarca
983,Ayapel
985,Instituto de Cultura y Turismo de Ventaquemada
991,Canal Capital
992,E.S.P. Empresa de Servicios Varios
994,E.S.E. Centro de Salud de Los Andes
995,San Miguel de Mocoa
996,E.S.P. Empresas Públicas de Recetor S.A.S.
997,Ecopetrol S.A.
1001,E.S.P del Municipio de Andes S.A
1003,Empresa de Desarrollo Sostenible del Oriente
1007,E.S.P. Tocagua
1025,Oleoducto Central S.A.
1030,El Guamo - Tolima
1031,E.S.P. Aguas de Cartagena S.A.
1034,E.S.E. Hospital Sagrada Familia - Campamento
1039,Manaure
1043,La Estrella
1046,E.S.E. Hospital San José - Becerril
1047,Empresa para la Seguridad Urbana
1048,E.S.E. San Juan de Betulia
1049,Francisco Pizarro (Salahonda)
1051,E.S.E. Hospital Regional de Sogamoso
1052,E.S.E. Hospital San Rafael de Matanza
1053,Coello
1055,E.S.P. Nuestro Aseo
1056,Natagaima
1061,Mesetas
1062,Circasia
1067,E.S.E. Hospital - Guachucal
1072,Villa Rica - Cauca
1081,Valledupar
1083,Briceño - Antioquia
1085,Trujillo
1086,E.S.E. Hospital San Antonio - Natagaima
1088,Ansermanuevo
1092,E.S.P. Los Palmitos S.A.
1095,Medio San Juan
1097,Remedios
1099,E.S.E. Hospital Horacio Muñoz Suescún - Sopetrán
1100,El Bagre
1102,Santa Rosa del Sur
1103,Cabuyaro
1104,E.S.P. Promotora Miel II S.A.S.
1105,E.S.P. Empresa Caucana de Servicios S.A.
1108,Granada - Cundinamarca
1110,Universidad Francisco de Paula Santander
1112,Universidad Nacional Abierta y a Distancia
1113,Instituto Municipal de Cultura y Turismo de Bucaramanga
1114,Departamento del Putumayo
1118,C.P.G.A. del Centro Oriente del Huila
1122,Soledad
1125,E.S.E. Hospital Departamental Mario Correa Rengifo - Cali
1128,E.S.P. Enviaseo
1133,"E.S.P. Empresa de Acueducto, Alcantarillado y Aseo del Espinal"
1135,E.S.E. Centro de Salud Luis Lanceros - Coper
1136,Candelaria - Valle del Cauca
1142,Pueblorrico - Antioquia
1144,E.S.E. Hospital San Rafael - Andes
1147,E.S.P. Aguas del Pore S.A.
1149,Becerril
1150,Campoalegre
1151,E.S.E. Hospital Local - San Pablo
1155,Arjona
1156,Turbaco
1159,Tarso
1165,La Virginia
1170,Arboleda - Berruecos
1173,Departamento del Norte de Santander
1175,Caldas - Antioquia
1177,Frontino
1182,Pesca
1185,E.S.P. Empresas Públicas de La Pintada S.A.
1186,La Belleza
1193,Ancuya
1199,E.S.E. Hospital Local de Campo de La Cruz
1201,Sutatausa
1202,Agua de Dios
1203,E.S.P. Empresas Públicas de Tesalia S.A.
1206,Cucutilla
1212,E.S.E. Hospital San Agustín - Puerto Merizalde (Buenaventura)
1215,E.S.E. Hospital Local Nueva Granada
1216,Hotel Guadalajara de Buga
1217,E.S.E. Hospital el Buen Samaritano - La Cruz
1219,San Miguel - Santander
1224,Fondo Rotatorio de la Vivienda - Industria Licorera de Caldas
1226,Capitanejo
1227,E.S.E. Hospital San Lorenzo - Liborina
1230,Algeciras
1237,Betania
1240,E.S.E. Centro de Salud de Togüí
1250,El Castillo
1253,San Pedro - Valle del Cauca
1260,Corozal
1263,Siachoque
1264,La Argentina
1269,E.S.E. Hospital Santa Isabel - Gómez Plata
1278,Chitaraque
1281,E.S.E. Hospital el Socorro - San Diego
1282,E.S.E. Hospital Local Santa Catalina de Alejandría
1284,Industria Licorera del Valle del Cauca
1288,El Banco
1289,Linares
1302,Lebrija
1305,Saravena
1308,Honda
1309,El Agrado
1312,Santa Rosa de Cabal
1313,Sardinata
1315,Aguazul
1318,Fondo de Fomento Arrocero
1319,San Juanito
1321,E.S.E. Hospital San Rafael - San Luis
1322,Institución Prestadora de Servicio de Salud Indígena Guaitara
1327,E.S.P. de Baraya
1332,Gama
1334,E.S.E. Centro de Salud de Yacuanquer
1335,Taraira
1337,Transcaribe S.A.
1338,E.S.E. Camu de Pueblo Nuevo
1342,Achí
1347,Taminango
1349,La Uvita
1350,Departamento del Vichada
1358,E.S.P. Domiciliarios de Puerres
1359,I.P.S.I. Centro Integral de Salud
1361,Villavieja
1366,Tenjo
1372,San Juan Nepomuceno
1375,Jenesano
1376,E.S.E. Salud Sogamoso
1378,Une
1388,Yacuanquer
1400,Tota
1408,Unidad Ejecutora de Saneamiento del Valle del Cauca
1409,Central de Abastos de Bucaramanga S.A.
1413,Agustín Codazzi
1416,E.S.E. Centro de Salud Hermana Gertrudis de Aguada
1422,Vergara
1423,E.S.E. Centro Hospital de La Florida
1424,Nimaima
1425,Universidad Industrial de Santander
1426,E.S.E. Hospital Departamental Hernando Moncaleano Perdomo - Neiva
1431,Empresa Descentralizada Plaza de Mercado Cubierto - Socorro
1435,Zambrano
1437,Caicedonia
1438,I.P.S. Centro de Salud de Encino
1442,E.S.E. Manuel Elkin Patarroyo del Municipio de Otanche
1444,Universidad de Cundinamarca
1451,Empresa de Desarrollo Urbano de Armenia
1452,Samaniego
1453,Aldana
1459,Terminal de Transportes de Pitalito S.A.
1467,Manizales
1469,Fiduciaria Agraria S.A.
1470,E.S.E. Hospital Local de Cicuco
1471,Tibasosa
1473,San Francisco - Putumayo
1477,Empresa Social del Estado Centro de Salud Santa Rita de Casia
1483,Chivolo
1490,Villavicencio
1495,Pueblo Nuevo
1496,Yarumal
1508,Caimito
1521,Hospital San Francisco - San Luis de Gaceno
1522,Instituto Universitario de la Paz
1523,La Salina
1524,Empresa de Acueducto y Alcantarillado - Corinto
1526,Puerto Caicedo
1528,San Vicente Ferrer
1542,El Tambo - Cauca
1546,Trinidad
1548,Suesca
1554,Marulanda
1568,Urumita
1570,Dosquebradas
1572,Yopal
1573,Garagoa
1575,Industria Licorera de Caldas
1576,E.S.P. Domiciliarios de Sabanalarga S.A.
1580,E.S.P Empresa de Acueducto y Alcantarillado de Pereira S.A.S
1583,Cotorra
1586,Chaparral
1595,Medio Atrato
1597,Zarzal
1607,E.S.E. Hospital San Vicente de Paul - Remedios
1611,Cumbitara
1613,La Ceja del Tambo
1614,Ginebra
1628,Aguachica
1631,Paime
1633,Fredonia
1635,Confines
1637,E.S.P. Gecelca 3 S.A.S.
1639,E.S.E. Barrancabermeja
1640,Departamento del Amazonas
1641,E.S.E. Hospital San Rafael - Oiba
1642,El Retorno
1646,E.S.E. Centro de Salud San Juan Bosco - La Llanada
1647,Sutatenza
1649,Mosquera - Cundinamarca
1651,Melgar
1653,Colombia
1656,E.S.E. Hospital Sagrada Familia - Toro (Valle)
1661,San Benito Abad
1672,Lenguazaque
1674,E.S.P. de Restrepo Agua Viva S.A.
1679,Pailitas
1684,San Juan de Urabá
1685,Pueblo Rico - Risaralda
1697,E.S.E. Hospital San Juan de Dios - Marinilla
1703,E.S.P. Empresa Municipal de Acueducto Alcantarillado y Aseo del Municipio de San Benito ABAD-SUCRE S.A ESP Aguas de San Benito ABAD S.A.
1706,E.S.P. de Giraldo S.A.
1712,Hospital Sagrado Corazón de Jesús - El Charco
1713,E.S.E. Hospital Regional de Duitama
1717,Zetaquira
1719,Leiva
1721,Empresa Municipal de Servicios Públicos de Villa de Leyva
1725,E.S.E. Hospital San Juan de Dios - Honda
1730,La Victoria - Valle del Cauca
1734,Acevedo
1735,Pelaya
1737,E.S.E. Hospital Hilario Lugo - Sasaima
1742,Fondo de Desarrollo Social de El Retiro
1752,Reforestadora Integral de Antioquia S.A.
1754,Ambalema
1757,Filandia
1765,E.S.E. Centro de Salud Juan Soleri
1768,Fondo Municipal de Vivienda de Armenia
1776,Barrancabermeja
1778,E.S.P. Empresa de Telecomunicaciones de Ipiales S.A.
1780,E.S.P. Servicios Públicos de Puerto López S.A.
1782,Empresa de Transporte Masivo de Cali S.A.
1784,Tierralta
1786,E.S.E. Centro de Salud Caimito
1801,Fondo Nacional de la Panela
1804,Arboletes
1805,Valle del Guamuez (La Hormiga)
1810,E.S.E. Hospital Sagrado Corazón de Jesús - Briceño
1814,Bomberos de Bucaramanga
1820,Sora
1837,Juan de Acosta
1838,E.S.E. Camu de los Córdobas
1848,Obando
1851,Puebloviejo
1853,E.S.E. Departamental de Primer Nivel
1855,Icononzo
1856,Empresa de Acueducto y Alcantarillado de Santander de Quilichao
1862,"Instituto Municipal de Deporte, Cultura, Recreación y Turismo de Sabana de Torres"
1863,Valle de San Juan
1865,E.S.P. Ituango S.A.
1866,Departamento del Magdalena
1870,Pasca
1874,E.S.E. Suroccidente
1875,E.S.E. Hospital Local de Concordia
1880,Guateque
1889,Coper
1890,Santa Cruz de Lorica
1891,Bochalema
1892,Oiba
1902,Ragonvalia
1907,E.S.E. Red de Salud de Ladera de Santiago de Cali
1910,E.S.E. Hospital Luis Ablanque de la Plata - Buenaventura
1912,Guadalupe - Santander
1917,E.S.P. de San Pedro de Cartago S.A.
1923,E.S.E. Hospital San Francisco de Viotá
1924,Guadalajara de Buga
1935,E.S.E. Hospital San José de Maicao del Nivel II
1937,Palmar
1942,Asociación de Municipios Pueblos de Occidente
1945,Consejo Nacional de Trabajo Social
1956,Empresa de Desarrollo Urbano
1959,El Cerrito
1969,Alvarado
1970,Montecristo
1971,E.S.E. Hospital Manuel Elkin Patarroyo - Santa Rosa del Sur
1986,"E.S.P. Empresa de Acueducto, Alcantarillado y Aseo de San Alberto S.A."
1989,Universidad Militar Nueva Granada
1998,San Antonio del Tequendama
1999,E.S.P. Empresa de Acueducto y Alcantarillado y Aseo de Madrid
2000,El Carmen
2003,"E.S.P. Empresa de Acueducto, Alcantarillado, Aseo y Servicios Complementarios de Otanche S.A.S."
2010,Bugalagrande
2014,E.S.E. Hospital Francisco Canosa - Pelaya
2024,Castilla la Nueva
2028,Aracataca
2037,Departamento de Arauca
2046,Aguadas - Caldas
2052,Sabaneta
2055,E.S.E. Hospital Baudilio Acero
2072,Contadero
2080,El Doncello
2086,E.S.E. Centro de Salud Con Cama Vitalio Sara Castillo - Soplaviento
2096,Instituto Municipal del Deporte
2099,E.S.E. Hospital San Cayetano - Marquetalia
2105,E.S.E. Hospital Nuestra Señora de Guadalupe
2107,Pore
2118,Paya
2119,Lourdes
2120,Ataco
2125,Heliconia
2133,Chivor
2136,Instituto Departamental de Deportes del Tolima
2145,Belmira
2149,E.S.E. Hospital Local - Santa Bárbara de Pinto
2151,Agencia Nacional de Infraestructura
2161,E.S.E. Hospital Materno Infantil Ciudadela Metropolitana - Soledad
2168,E.S.P. Aguas de Villahermosa S.A.S.
2173,Sabanalarga - Casanare
2184,Piamonte
2185,El Carmen de Viboral
2189,Curipa E.S.P de San Joaquin AAA S.A.S
2190,Junta de Deportes Copacabana
2197,Miranda
2201,Matanza
2210,E.S.E. Hospital Planadas
2211,Floridablanca
2215,Puente Nacional
2220,E.S.E. Centro 2- Rosas
2231,Alpujarra
2237,Copacabana
2242,Puerto Concordia
2254,Corrales
2260,Sociedad de Acueducto y Alcantarillado del Valle del Cauca
2261,Morroa
2279,La Tola
2284,Empresa Inmobiliaria de Cundinamarca
2288,Guarne
2296,Rioblanco
2298,E.S.P. Empresa Municipal de Aguas y Aseo de la Merced S.A.S.
2305,San Pablo de Borbur
2316,Granada - Antioquia
2318,Encino
2324,Rionegro - Santander
2325,Casa Municipal de la Cultura de Caldas
2328,Los Palmitos
2331,E.S.E. Luisa Santiaga Marquez Iguaran
2338,E.S.E. Hospital San Juan de Dios de Betulia
2345,Maicao
2347,Cabrera - Santander
2352,E.S.E. Hospital San Pedro Claver - Mogotes
2357,Campohermoso
2359,E.S.P. Red Vital Paipa S.A.
2364,Pisba
2367,Instituto de Cultura de Malambo
2376,Quimbaya
2378,Departamento del Guaviare
2382,Supatá
2392,Policarpa
2402,I.P.S. Centro de Salud de Puerto Parra
2403,Gestora Urbana de Ibagué
2409,E.S.P. Colvatel S.A.
2411,San Carlos -  Antioquia
2414,Empresa de Desarrollo Urbano de la Ceja
2416,Santo Domingo de Silos
2420,California
2423,Dolores
2424,Rionegro - Antioquia
2428,Cámara de Comercio del Huila
2430,E.S.E. Hospital Local - Baranoa
2434,E.S.E. Red de Salud del Norte
2442,El Carmen de Atrato
2446,E.S.P. Empresa Municipal de Servicios Públicos de Timbío
2448,E.S.E. Salud Aquitania
2452,La Vega - Cundinamarca
2458,E.S.E. Hospital Integrado San Antonio - Puente Nacional
2462,E.P.S. Suramericana S.A.
2467,Metroparques E.I.C.E
2473,Ocamonte
2475,Fondo Municipal de Tránsito y Transporte de Magangué
2478,"E.S.P. Empresa de Acueducto, Alcantarillado y Aseo de Silvania S.A."
